var_1,result
3.800438193003831,1.0
6.7584894642013795,0.0
3.237225729274827,1.0
4.126060895978378,0.0
8.176331993806173,0.0
1.16722297450054,0.0
9.607116914440986,0.0
5.310991434180901,0.0
8.726852615845134,1.0
4.961818617729777,0.0
4.0352991509906015,0.0
4.4109760993176526,0.0
3.164495178510323,0.0
1.1761361855322314,1.0
1.4236271579583573,0.0
8.955348572261626,1.0
5.658230340741381,0.0
4.176720143168135,1.0
1.4347557029905393,0.0
13.595494552398208,1.0
5.449368573494676,1.0
1.76647610722521,0.0
1.7056297142034191,0.0
0.15261807679700604,1.0
5.476903786954005,1.0
3.179947601478713,0.0
2.181438615529678,1.0
1.957686194654669,0.0
1.3514703785564817,1.0
3.911401615175537,1.0
5.576831037681645,1.0
11.31289892892707,1.0
4.112311293955169,0.0
4.238202126183547,1.0
4.997609530771622,1.0
0.36424048778863843,1.0
1.345564370291544,0.0
3.902039084865646,1.0
4.142752430924829,0.0
1.4857653292639794,1.0
2.9320168790524574,0.0
2.481831972723945,0.0
3.0713862183084477,0.0
3.506730734282826,1.0
6.680032123842922,1.0
2.4880975481607743,1.0
2.5476243788675252,0.0
3.9826719471296688,1.0
1.498280205514653,1.0
6.442987644850616,1.0
8.285666569950921,0.0
6.461211582583396,0.0
7.700756656836815,1.0
2.183367363172117,0.0
0.7688064215914577,0.0
5.411978641987913,0.0
4.627023217331979,1.0
4.303414474302131,0.0
6.662266767964894,1.0
1.642628681704307,0.0
6.730034690469092,1.0
2.8442483378441565,1.0
3.0202116775665155,1.0
3.6416605717224537,0.0
1.446665398921426,0.0
6.16757835177636,0.0
3.021834384759166,0.0
0.5296995934101966,1.0
3.985908892988984,0.0
5.436759893922151,0.0
2.79636027579932,0.0
3.60518371999605,1.0
1.0421446700602255,0.0
6.088332015062702,1.0
4.924874669450739,0.0
0.816645411695741,0.0
12.340597750597606,0.0
2.012906975635466,0.0
13.616656345593737,0.0
4.565253762900045,1.0
1.3818680744125376,0.0
0.9574577333519402,1.0
1.424836938693693,1.0
4.358384494729152,1.0
3.4311494214675506,0.0
3.5086889664157246,0.0
0.8183536461535513,1.0
2.528114043654999,1.0
2.420774945904437,0.0
3.8272457839021055,0.0
3.843756430287444,0.0
5.095121959672485,0.0
8.56273317249345,1.0
10.849825315127147,0.0
6.621469924630418,1.0
3.36873544103176,1.0
3.190601113877358,0.0
2.08564338094456,0.0
10.11739896598036,1.0
3.4187831214481346,1.0
5.504334942191042,1.0
3.4630945308675307,1.0
2.246742013966375,1.0
2.0874242623202273,1.0
0.10393221227830597,1.0
4.101979062501159,1.0
10.676769599667544,1.0
2.074349897595151,1.0
8.933358137063351,1.0
4.998978423443034,0.0
0.994475907155628,0.0
3.5735171192514104,0.0
1.5835838472875394,1.0
3.266285567246942,0.0
5.264137221513987,0.0
1.3479691505371338,0.0
7.743203277991428,0.0
2.636894030117681,0.0
13.84628336264281,0.0
2.567623065405009,0.0
4.806577893028202,1.0
1.6281350113796829,1.0
0.5594298353730913,0.0
1.1957431914371117,0.0
4.116393573301345,1.0
4.412166536412099,1.0
5.960796685737895,0.0
